timestamp,RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_Protocol,UL_NumberOfPackets,DL_Protocol,DL_NumberOfPackets
2036-12-31 00:00:00.000,-105.0,0.06331400000000002,9.0,0.22099209999999989,6.0,5.0,23.765,123.0,76.0,0.0,0.05,0.0,0.0472,0.0,TCP,130,TCP,1.0
2036-12-31 00:00:00.100,-105.0,0.05905000000000001,9.0,0.19847120000000001,6.0,5.0,22.765,0.0,76.0,0.0,0.0,0.05,0.0,0.0472,TCP,168,TCP,0.0
2036-12-31 00:00:00.200,-105.0,0.05905000000000001,9.0,0.17843559999999997,6.0,13.1,21.55,0.0,76.0,0.0,0.0,0.23,0.0,0.217,TCP,159,TCP,0.0
2036-12-31 00:00:00.300,-105.0,0.05905000000000001,9.0,0.21625120000000006,6.0,13.82,20.49,0.0,76.0,0.0,0.0,0.05,0.0,0.0472,TCP,160,TCP,0.0
2036-12-31 00:00:00.400,-105.0,0.05905000000000001,9.0,0.23837039999999998,6.0,5.0,21.06,0.0,76.0,0.0,0.0,0.05,0.0,0.0472,TCP,97,TCP,0.0
2036-12-31 00:00:00.500,-104.66,0.05905000000000001,9.0,0.214305,6.0,5.0,21.46,0.0,76.0,0.0,0.0,0.0,0.0,0.0,TCP,101,TCP,0.0
2036-12-31 00:00:00.600,-104.0,0.0540265,9.0,0.1955385000000001,6.0,7.21,19.345,745.0,412.0,16.02,0.17,0.9,0.1604,0.8491999999999998,TCP,99,TCP,0.0
2036-12-31 00:00:00.700,-104.77,0.05298070000000001,8.94,0.1783824,6.0,5.0,18.88,177.0,181.0,0.0,0.05,0.05,0.0472,0.0472,TCP,102,TCP,0.0
2036-12-31 00:00:00.800,-105.0,0.047830000000000004,7.0,0.16369460000000002,6.0,5.0,18.955,0.0,149.0,0.0,0.0,0.0,0.0,0.0,TCP,93,TCP,32.0
2036-12-31 00:00:00.900,-105.0,0.047830000000000004,7.0,0.14703049999999998,6.0,5.0,18.665,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,TCP,115,TCP,64.0
2036-12-31 00:00:01.000,-105.0,0.047830000000000004,7.0,0.1321912,6.0,5.0,19.88,0.0,149.0,0.0,0.0,0.0,0.0,0.0,TCP,92,TCP,31.0
2036-12-31 00:00:01.100,-105.0,0.043145599999999985,7.0,0.12091000000000003,6.0,5.0,19.39,354.0,64.0,0.0,0.0,0.05,0.0,0.0472,TCP,109,TCP,16.0
2036-12-31 00:00:01.200,-105.0,0.04175699999999998,7.0,0.13131760000000003,6.0,5.0,19.56,177.0,181.0,0.0,0.05,0.05,0.0472,0.0472,TCP,117,TCP,20.0
2036-12-31 00:00:01.300,-105.0,0.03873999999999999,7.0,0.136462,6.0,5.0,19.36,0.0,149.0,0.0,0.0,0.0,0.0,0.0,TCP,111,TCP,36.0
2036-12-31 00:00:01.400,-105.0,0.03873999999999999,7.0,0.1225582,6.0,5.0,20.185,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,TCP,124,TCP,41.0
2036-12-31 00:00:01.500,-105.0,0.03873999999999999,7.0,0.11019070000000002,6.0,5.0,21.475,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,TCP,102,TCP,2.0
2036-12-31 00:00:01.600,-105.0,0.03498610000000001,7.0,0.09906720000000002,6.0,5.0,22.72,354.0,181.0,0.0,0.1,0.0,0.0944,0.0,TCP,107,TCP,46.0
2036-12-31 00:00:01.700,-104.48,0.032880700000000006,7.0,0.09326000000000002,6.0,5.0,21.43,177.0,32.0,0.0,0.05,0.0,0.0472,0.0,TCP,90,TCP,67.0
2036-12-31 00:00:01.800,-104.0,0.031380000000000005,7.0,0.08701560000000001,6.0,5.0,20.37,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,TCP,110,TCP,67.0
2036-12-31 00:00:01.900,-104.0,0.028930799999999986,7.0,0.09194399999999997,6.0,22.2,20.075,21060.0,12739.0,1092.26,4.3,11.0,4.056699999999999,10.3774,TCP,80,TCP,100.0
2036-12-31 00:00:02.000,-104.0,0.025927600000000002,7.0,0.08885500000000002,6.0,46.0,18.13,29821.0,40706.0,2579.58,4.8,23.64,4.5286,22.302,TCP,118,TCP,128.0
2036-12-31 00:00:02.100,-104.0,0.0239722,7.0,0.08022800000000001,6.0,16.36,28.905,16749.0,5621.0,275.34,2.6,2.28,2.4531,2.151,TCP,86,TCP,169.0
2036-12-31 00:00:02.200,-104.0,0.021597599999999995,7.0,0.0717398,6.0,14.0,21.615,4458.0,2876.0,127.28,0.35,1.3,0.33039999999999997,1.2267000000000001,TCP,95,TCP,237.0
2036-12-31 00:00:02.300,-104.0,0.019621799999999995,7.0,0.0644996,6.0,21.9,17.89,28545.0,2704.0,126.44,4.75,0.51,4.4813,0.4813,TCP,96,TCP,350.0
2036-12-31 00:00:02.400,-104.0,0.05975299999999999,7.0,0.0631412,6.0,8.09,16.64,52214.0,3622.0,201.92,9.33,3.18,8.8019,3.0,TCP,73,TCP,268.0
2036-12-31 00:00:02.500,-106.0,0.23363000000000003,6.0,0.06151450000000001,6.0,13.34,19.05,15825.0,7208.0,318.82,2.22,2.07,2.0944,1.9528999999999999,TCP,71,TCP,257.0
2036-12-31 00:00:02.600,-106.0,0.2954212000000001,6.0,0.05530200000000002,6.0,28.52,23.41,65517.0,14176.0,839.99,13.32,11.57,12.565999999999999,10.9154,TCP,95,TCP,178.0
2036-12-31 00:00:02.700,-106.0,0.3037357999999999,6.0,0.049668000000000025,6.64,21.64,21.3,91182.0,7237.0,398.68,16.01,1.26,15.103800000000001,1.1887999999999999,TCP,108,TCP,209.0
2036-12-31 00:00:02.800,-106.0,0.28443049999999986,6.0,0.044605200000000005,7.66,36.65,20.075,102132.0,23628.0,1946.02,16.08,11.78,15.1698,11.113400000000002,TCP,98,TCP,276.0
2036-12-31 00:00:02.900,-106.0,0.25518,6.0,0.04009899999999999,8.67,20.41,20.455,138850.0,7797.0,378.45,25.11,1.66,23.688699999999997,1.5661,TCP,88,TCP,261.0
2036-12-31 00:00:03.000,-106.0,0.23178159999999998,6.0,0.03600969999999999,9.69,19.08,17.965,173220.0,6570.0,295.66,31.01,2.44,29.2547,2.302,TCP,100,TCP,275.0
2036-12-31 00:00:03.100,-106.0,0.21405229999999997,6.0,0.03237399999999999,10.7,22.2,20.42,241363.0,7405.0,344.19,42.01,2.25,39.6321,2.1228,TCP,85,TCP,260.0
2036-12-31 00:00:03.200,-106.0,0.19533899999999996,6.0,0.0290764,11.72,28.42,19.885,340468.0,8503.0,406.47,58.89,2.71,55.556599999999996,2.5566000000000004,TCP,108,TCP,251.0
2036-12-31 00:00:03.300,-106.98,0.17543519999999993,6.0,0.026141400000000013,12.73,27.95,21.19,386152.0,8383.0,451.57,63.35,2.76,59.7641,2.6038,TCP,88,TCP,297.0
2036-12-31 00:00:03.400,-107.0,0.15772390000000003,6.0,0.030975000000000006,13.75,21.63,20.375,386152.0,11432.0,521.58,64.41,2.95,60.7641,2.7832,TCP,81,TCP,236.0
2036-12-31 00:00:03.500,-107.0,0.14828969999999997,6.0,0.030347199999999998,14.76,23.16,15.635,198046.0,5120.0,340.66,31.01,1.62,29.2547,1.5284,TCP,89,TCP,284.0
2036-12-31 00:00:03.600,-108.78494623655914,0.1500885,6.0,0.0692542,15.0,30.53,21.71,354543.0,9069.0,436.96,62.81,2.41,59.2547,2.2736,TCP,80,TCP,270.0
2036-12-31 00:00:03.700,-109.0,0.14662560000000002,6.0,0.07819300000000001,15.0,30.86,19.68,386152.0,9604.0,456.06,64.41,3.05,60.7641,2.8774,TCP,84,TCP,264.0
2036-12-31 00:00:03.800,-109.0,0.13168320000000003,6.0,0.07120800000000001,15.0,31.76,21.295,379750.0,9691.0,468.27,63.35,2.57,59.7641,2.4246,TCP,90,TCP,277.0
2036-12-31 00:00:03.900,-109.0,0.1183885,6.0,0.0639528,15.0,38.54,18.08,379750.0,8705.0,598.88,63.35,2.85,59.7641,2.6887,TCP,92,TCP,286.0
2036-12-31 00:00:04.000,-109.0,0.10643880000000003,6.0,0.07213709999999997,15.0,21.46,18.855,390506.0,6111.0,252.52,66.53,1.14,62.7641,1.0755,TCP,87,TCP,329.0
2036-12-31 00:00:04.100,-109.0,0.09559299999999997,6.0,0.08277400000000001,15.0,21.62,21.39,382951.0,7746.0,363.37,63.08,3.07,59.5094,2.8964,TCP,83,TCP,293.0
2036-12-31 00:00:04.200,-109.52,0.08594330000000003,6.0,0.08184179999999999,15.0,17.9,20.36,376549.0,4520.0,253.22,61.5,1.05,58.0188,0.9906,TCP,83,TCP,322.0
2036-12-31 00:00:04.300,-110.0,0.07718580000000001,6.0,0.0840536,15.0,29.96,20.98,383703.0,8032.0,423.58,65.2,3.24,61.5094,3.0568,TCP,83,TCP,303.0
2036-12-31 00:00:04.400,-110.0,0.06939199999999998,6.0,0.08157980000000001,15.0,15.9,21.26,390570.0,4931.0,214.64,66.53,1.04,62.7641,0.9810000000000001,TCP,81,TCP,309.0
2036-12-31 00:00:04.500,-110.0,0.06231759999999998,6.0,0.07383169999999999,15.0,19.38,23.51,389353.0,8646.0,446.74,62.29,1.38,58.7641,1.3021,TCP,73,TCP,272.0
2036-12-31 00:00:04.600,-110.0,0.055846800000000016,6.0,0.071162,15.0,16.74,20.02,382951.0,5161.0,222.02,64.14,1.82,60.5094,1.7172,TCP,79,TCP,326.0
2036-12-31 00:00:04.700,-110.0,0.05021090000000001,6.69,0.0749,15.0,29.52,20.16,417783.0,9014.0,444.72,65.47,2.39,61.7641,2.2547,TCP,96,TCP,317.0
2036-12-31 00:00:04.800,-110.25806451612904,0.045138,7.0,0.0728872,15.0,18.52,20.63,436519.0,5002.0,242.05,64.14,1.1,60.5094,1.0378,TCP,88,TCP,296.0
2036-12-31 00:00:04.900,-111.0,0.04053360000000002,7.0,0.07661169999999999,15.0,19.74,20.89,440168.0,9342.0,438.02,63.35,1.69,59.7641,1.5944,TCP,90,TCP,306.0
2036-12-31 00:00:05.000,-111.0,0.03644110000000001,7.0,0.0737076,15.0,19.91,20.755,432870.0,5976.0,285.97,64.14,1.77,60.5094,1.6701,TCP,110,TCP,306.0
2036-12-31 00:00:05.100,-111.0,0.03272499999999999,7.0,0.07157299999999997,15.0,25.08,20.385,437816.0,7408.0,362.5,66.53,1.82,62.7641,1.7170999999999998,TCP,88,TCP,302.0
2036-12-31 00:00:05.200,-111.0,0.0294232,7.0,0.06938149999999998,15.0,21.23,19.245,440168.0,6405.0,303.99,64.41,1.42,60.7641,1.3397999999999999,TCP,89,TCP,305.0
2036-12-31 00:00:05.300,-111.0,0.026421400000000008,7.0,0.0626994,15.0,22.37,19.44,436519.0,6657.0,327.49,63.08,1.22,59.5094,1.1511,TCP,105,TCP,308.0
2036-12-31 00:00:05.400,-111.0,0.02372600000000001,7.0,0.0617268,15.0,16.87,19.685,430069.0,4631.0,290.06,62.56,1.39,59.0188,1.3115,TCP,97,TCP,303.0
2036-12-31 00:00:05.500,-111.0,0.021330799999999997,7.0,0.06134500000000001,15.0,15.88,17.6,445194.0,7058.0,251.91,66.26,1.24,62.5094,1.17,TCP,84,TCP,300.0
2036-12-31 00:00:05.600,-111.0,0.0191553,7.0,0.06086879999999999,15.0,26.25,18.175,431942.0,6415.0,367.26,64.14,1.13,60.5094,1.0662,TCP,92,TCP,288.0
2036-12-31 00:00:05.700,-111.0,0.018623600000000004,7.0,0.06683430000000003,15.0,19.33,19.0,432870.0,5440.0,275.37,64.14,1.73,60.5094,1.6322,TCP,93,TCP,321.0
2036-12-31 00:00:05.800,-111.0,0.016990399999999992,7.0,0.07542900000000001,15.0,23.91,22.175,441465.0,7033.0,325.02,66.26,1.38,62.5094,1.3019,TCP,95,TCP,304.0
2036-12-31 00:00:05.900,-112.0,0.015277100000000002,7.0,0.06774759999999999,15.0,19.15,22.355,440168.0,6747.0,317.58,64.41,1.59,60.7641,1.5001000000000002,TCP,92,TCP,305.0
2036-12-31 00:00:06.000,-112.0,0.0137161,7.0,0.06090769999999999,15.0,17.97,23.77,429221.0,5185.0,230.21,63.35,1.32,59.7641,1.2454,TCP,81,TCP,305.0
2036-12-31 00:00:06.100,-112.68817204301075,0.012334999999999999,7.0,0.05576619999999998,15.0,15.92,20.41,440168.0,6461.0,317.8,64.14,1.15,60.5094,1.0849000000000002,TCP,107,TCP,273.0
2036-12-31 00:00:06.200,-112.94,0.0110776,7.0,0.05691129999999999,15.0,14.67,20.04,445114.0,4511.0,201.57,67.32,1.79,63.5094,1.6887,TCP,97,TCP,326.0
2036-12-31 00:00:06.300,-112.0,0.009946,7.0,0.0638144,15.0,22.32,17.93,429221.0,6336.0,305.14,61.5,1.02,58.0188,0.9623,TCP,95,TCP,313.0
2036-12-31 00:00:06.400,-112.0,0.008939499999999996,7.0,0.07528879999999999,15.0,17.74,18.26,440168.0,5185.0,239.7,64.93,2.23,61.2547,2.1038,TCP,91,TCP,285.0
2036-12-31 00:00:06.500,-112.0,0.008026700000000003,7.0,0.08240499999999998,15.0,16.22,18.12,436519.0,5006.0,233.88,64.41,0.99,60.7641,0.9340999999999999,TCP,97,TCP,315.0
2036-12-31 00:00:06.600,-112.0,0.007215999999999998,7.0,0.080916,15.0,22.38,18.97,437816.0,6671.0,313.0,64.41,1.62,60.7641,1.5284,TCP,89,TCP,303.0
2036-12-31 00:00:06.700,-112.0,0.0064807000000000016,7.0,0.08252960000000002,15.0,19.61,17.81,430149.0,5243.0,243.64,61.23,1.15,57.7641,1.0851,TCP,96,TCP,305.0
2036-12-31 00:00:06.800,-112.0,0.0058184000000000005,7.0,0.07843680000000001,15.0,17.67,18.165,440168.0,6761.0,322.15,64.93,0.98,61.2547,0.9245,TCP,90,TCP,310.0
2036-12-31 00:00:06.900,-112.0,0.0052292,7.0,0.0704463,15.0,24.06,18.24,440088.0,7263.0,332.32,64.41,1.83,60.7641,1.7265000000000001,TCP,86,TCP,305.0
2036-12-31 00:00:07.000,-112.0,0.004705999999999998,7.0,0.06689240000000002,15.0,16.7,20.145,430598.0,4336.0,205.15,63.35,0.94,59.7641,0.8867999999999999,TCP,77,TCP,303.0
2036-12-31 00:00:07.100,-112.0,0.004224800000000002,7.0,0.06768999999999999,15.0,23.08,19.38,440168.0,6596.0,309.38,65.2,2.44,61.5094,2.3019,TCP,93,TCP,320.0
